lot_id,date,station,wait_time_min,defect_type,operator_group,rework_flag
LOT-101,2026-06-15,FI-AOI,45,open_short,Group-A,1
LOT-102,2026-06-15,FI-VI,12,scratch,Group-B,1
LOT-103,2026-06-15,FI-Packing,5,,Group-A,0
LOT-104,2026-06-15,FI-AOI,60,contamination,Group-C,1
LOT-105,2026-06-16,FI-Recheck,90,dimension_ng,Group-B,1
LOT-106,2026-06-16,FI-VI,8,,Group-A,0
LOT-107,2026-06-16,FI-AOI,15,,Group-B,0
LOT-108,2026-06-16,FI-Packing,25,label_error,Group-C,1
LOT-109,2026-06-17,FI-VI,50,cosmetic_ng,Group-A,1
LOT-110,2026-06-17,FI-AOI,110,open_short,Group-B,1
LOT-111,2026-06-17,FI-Packing,12,,Group-C,0
LOT-112,2026-06-17,FI-Recheck,15,,Group-A,0
LOT-113,2026-06-18,FI-AOI,75,contamination,Group-B,1
LOT-114,2026-06-18,FI-VI,30,scratch,Group-C,1
LOT-115,2026-06-18,FI-Packing,10,,Group-A,0
LOT-116,2026-06-18,FI-Recheck,120,dimension_ng,Group-B,1
LOT-117,2026-06-19,FI-AOI,40,,Group-C,0
LOT-118,2026-06-19,FI-VI,18,cosmetic_ng,Group-A,1
LOT-119,2026-06-19,FI-Packing,15,label_error,Group-B,1
LOT-120,2026-06-19,FI-Recheck,95,scratch,Group-C,1
